Soil Type,pH Level,Organic Matter (%),CEC (meq/100g),Texture,Temperature (°C),Precipitation (mm),Land Use/Land Cover,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm)
Clay,6.9,3.3,22,Clayey,23,102,Agricultural,30,13,38
Loam,6.8,2.9,16,Loamy,21,119,Forest,19,8,33
Sandy,6.4,1.5,8,Sandy,29,81,Grassland,15,5,22
Clay,7.0,3.7,25,Clayey,22,98,Agricultural,31,14,40
Loam,6.7,2.5,16,Loamy,23,115,Forest,20,9,31
Sandy,6.6,1.8,9,Sandy,27,78,Grassland,16,6,24
Clay,6.8,3.4,20,Clayey,24,103,Agricultural,30,12,37
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,32
Sandy,6.4,1.3,7,Sandy,28,84,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,99,Agricultural,31,13,38
Loam,6.6,2.5,17,Loamy,24,114,Forest,20,10,30
Sandy,6.5,1.6,9,Sandy,28,77,Grassland,17,7,23
Clay,6.9,3.2,20,Clayey,23,104,Agricultural,29,11,36
Loam,6.8,2.8,14,Loamy,21,119,Forest,18,8,31
Sandy,6.4,1.4,8,Sandy,29,82,Grassland,16,6,22
Clay,7.1,3.7,26,Clayey,22,96,Agricultural,32,15,41
Loam,6.7,2.6,17,Loamy,23,115,Forest,21,10,31
Sandy,6.6,1.9,10,Sandy,27,79,Grassland,17,7,24
Clay,6.8,3.5,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.9,16,Loamy,21,120,Forest,19,9,32
Sandy,6.4,1.3,7,Sandy,28,84,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,99,Agricultural,31,13,38
Loam,6.6,2.5,17,Loamy,24,114,Forest,20,10,30
Sandy,6.5,1.6,9,Sandy,28,77,Grassland,17,7,23
Clay,6.9,3.2,20,Clayey,23,104,Agricultural,29,11,36
Loam,6.8,2.8,14,Loamy,21,119,Forest,18,8,31
Sandy,6.4,1.4,8,Sandy,29,82,Grassland,16,6,22
Clay,7.1,3.7,26,Clayey,22,96,Agricultural,32,15,41
Loam,6.7,2.6,17,Loamy,23,115,Forest,21,10,31
Sandy,6.6,1.8,10,Sandy,27,79,Grassland,17,7,24
Clay,6.8,3.4,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,32
Sandy,6.4,1.3,7,Sandy,28,84,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,99,Agricultural,31,13,38
Loam,6.6,2.5,17,Loamy,24,114,Forest,20,10,30
Sandy,6.5,1.6,9,Sandy,28,77,Grassland,17,7,23
Clay,6.9,3.2,20,Clayey,23,104,Agricultural,29,11,36
Loam,6.8,2.8,14,Loamy,21,119,Forest,18,8,31
Sandy,6.4,1.4,8,Sandy,29,82,Grassland,16,6,22
Clay,7.1,3.7,26,Clayey,22,96,Agricultural,32,15,41
Loam,6.7,2.6,17,Loamy,23,115,Forest,21,10,31
Sandy,6.6,1.9,10,Sandy,27,79,Grassland,17,7,24
Clay,6.8,3.5,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.9,16,Loamy,21,120,Forest,19,9,32
Sandy,6.4,1.3,7,Sandy,28,84,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,99,Agricultural,31,13,38
Loam,6.6,2.5,17,Loamy,24,114,Forest,20,10,30
Sandy,6.5,1.6,9,Sandy,28,77,Grassland,17,7,23
Clay,6.9,3.2,20,Clayey,23,104,Agricultural,29,11,36
Loam,6.8,2.8,14,Loamy,21,119,Forest,18,8,31
Sandy,6.4,1.4,8,Sandy,29,82,Grassland,16,6,22
Clay,7.1,3.7,26,Clayey,22,96,Agricultural,32,15,41
Loam,6.7,2.6,17,Loamy,23,115,Forest,21,10,31
Sandy,6.6,1.9,10,Sandy,27,79,Grassland,17,7,24
Clay,6.8,3.5,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.9,16,Loamy,21,120,Forest,19,9,32
Sandy,6.4,1.3,7,Sandy,28,84,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,99,Agricultural,31,13,38
Loam,6.6,2.5,17,Loamy,24,114,Forest,20,10,30
Sandy,6.5,1.6,9,Sandy,28,77,Grassland,17,7,23
Clay,6.9,3.2,20,Clayey,23,104,Agricultural,29,11,36
Loam,6.8,2.8,14,Loamy,21,119,Forest,18,8,31
Sandy,6.4,1.4,8,Sandy,29,82,Grassland,16,6,22
Clay,7.1,3.7,26,Clayey,22,96,Agricultural,32,15,41
Loam,6.7,2.6,17,Loamy,23,115,Forest,21,10,31
Sandy,6.6,1.9,10,Sandy,27,79,Grassland,17,7,24
Clay,6.8,3.5,21,Clayey,24,102,Agricultural,30,12,37
Loam,6.9,2.9,16,Loamy,21,120,Forest,19,9,32
Sandy,6.4,1.3,7,Sandy,28,84,Grassland,15,5,21
Clay,7.0,3.6,24,Clayey,22,99,Agricultural,31,13,38
Loam,6.6,2.5,17,Loamy,24,114,Forest,20,10,30
Sandy,6.5,1.6,9,Sandy,28,77,Grassland,17,7,23
Clay,6.9,3.2,20,Clayey,23,104,Agricultural,29,11,36
Loam,6.8,2.8,14,Loamy,21,119,Forest,18,8,31
Sandy,6.4,1.4,8,Sandy,29,82,Grassland,16,6,22
Clay,7.1,3.7,26,Clayey,22,96,Agricultural,32,15,41
Loam,6.7,2.6,17,Loamy,23,115,Forest,21,10,31
Clay,6.2,1.8,18,Clayey,25,106,Agricultural,27,10,33
Loam,6.3,3.0,11,Loamy,22,120,Forest,17,7,30
Sandy,6.0,1.0,5,Sandy,31,81,Grassland,13,4,19
Clay,6.6,3.5,24,Clayey,23,100,Agricultural,31,14,39
Sandy,6.9,2.5,9,Sandy,28,88,Grassland,17,8,25
Loam,7.4,2.8,17,Loamy,24,113,Forest,24,11,34
Clay,6.4,3.2,20,Clayey,24,101,Agricultural,29,13,38
Sandy,6.7,1.9,7,Sandy,26,80,Grassland,16,6,22
Clay,7.0,3.4,18,Clayey,25,107,Agricultural,28,12,35
Loam,6.9,2.7,13,Loamy,22,117,Forest,20,9,30
Sandy,6.2,1.5,6,Sandy,30,83,Grassland,15,5,20
Clay,7.3,4.0,29,Clayey,23,93,Agricultural,36,17,44
Loam,6.9,2.6,16,Loamy,23,116,Forest,21,10,32
Sandy,6.8,1.8,8,Sandy,27,81,Grassland,18,7,24
Clay,7.2,3.5,25,Clayey,23,102,Agricultural,32,15,43
Loam,6.8,2.9,17,Loamy,21,121,Forest,20,9,36
Sandy,6.6,1.4,8,Sandy,29,79,Grassland,15,6,23
Clay,7.0,3.9,27,Clayey,23,97,Agricultural,33,16,42
Loam,6.8,2.6,18,Loamy,24,115,Forest,21,10,31
Sandy,6.5,1.7,10,Sandy,27,80,Grassland,17,7,25
Clay,6.7,3.4,23,Clayey,24,103,Agricultural,30,13,40
Loam,6.9,2.8,14,Loamy,22,118,Forest,19,8,35
Sandy,6.4,1.3,7,Sandy,28,85,Grassland,16,5,21
Clay,7.1,3.8,28,Clayey,23,98,Agricultural,32,14,41
Loam,6.8,2.7,17,Loamy,23,117,Forest,20,9,32
Sandy,6.7,1.6,9,Sandy,26,78,Grassland,16,6,24
Clay,6.6,3.3,22,Clayey,24,104,Agricultural,29,12,37
Loam,6.9,2.9,15,Loamy,21,119,Forest,18,8,33
Sandy,6.4,1.2,6,Sandy,29,80,Grassland,14,5,22
Clay,7.2,3.7,26,Clayey,22,99,Agricultural,31,13,42
Loam,6.8,2.6,17,Loamy,23,116,Forest,20,9,31
Sandy,6.6,1.5,8,Sandy,27,77,Grassland,16,6,23
Clay,7.0,3.6,24,Clayey,23,100,Agricultural,30,12,39
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,34
Sandy,6.4,1.1,5,Sandy,30,82,Grassland,13,4,20
Clay,7.3,3.9,28,Clayey,23,94,Agricultural,34,16,43
Loam,6.9,2.7,16,Loamy,23,117,Forest,20,9,32
Sandy,6.8,1.6,9,Sandy,26,79,Grassland,17,7,25
Clay,6.6,3.2,21,Clayey,24,101,Agricultural,29,13,38
Loam,6.8,2.9,14,Loamy,22,118,Forest,19,8,33
Sandy,6.4,1.2,6,Sandy,29,80,Grassland,14,5,22
Clay,7.2,3.8,27,Clayey,22,99,Agricultural,32,14,41
Loam,6.8,2.7,17,Loamy,23,116,Forest,20,9,31
Sandy,6.6,1.5,8,Sandy,27,77,Grassland,16,6,23
Clay,7.0,3.7,25,Clayey,23,100,Agricultural,31,13,40
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,34
Sandy,6.4,1.1,5,Sandy,30,82,Grassland,13,4,20
Clay,7.3,3.9,28,Clayey,23,94,Agricultural,34,16,43
Loam,6.9,2.7,16,Loamy,23,117,Forest,20,9,32
Sandy,6.8,1.6,9,Sandy,26,79,Grassland,17,7,25
Clay,6.6,3.2,21,Clayey,24,103,Agricultural,30,12,37
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,8,33
Sandy,6.4,1.2,6,Sandy,29,80,Grassland,14,5,22
Clay,7.2,3.8,27,Clayey,22,99,Agricultural,32,14,41
Loam,6.8,2.7,17,Loamy,23,116,Forest,20,9,31
Sandy,6.6,1.5,8,Sandy,27,77,Grassland,16,6,23
Clay,7.0,3.7,25,Clayey,23,100,Agricultural,31,13,40
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,34
Sandy,6.4,1.1,5,Sandy,30,82,Grassland,13,4,20
Clay,7.3,3.9,28,Clayey,23,94,Agricultural,34,16,43
Loam,6.9,2.7,16,Loamy,23,117,Forest,20,9,32
Sandy,6.8,1.6,9,Sandy,26,79,Grassland,17,7,25
Clay,6.6,3.2,21,Clayey,24,101,Agricultural,29,13,38
Loam,6.8,2.9,14,Loamy,22,118,Forest,19,8,33
Sandy,6.4,1.2,6,Sandy,29,80,Grassland,14,5,22
Clay,7.2,3.8,27,Clayey,22,99,Agricultural,32,14,41
Loam,6.8,2.7,17,Loamy,23,116,Forest,20,9,31
Sandy,6.6,1.5,8,Sandy,27,77,Grassland,16,6,23
Clay,7.0,3.7,25,Clayey,23,100,Agricultural,31,13,40
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,34
Sandy,6.4,1.1,5,Sandy,30,82,Grassland,13,4,20
Clay,7.3,3.9,28,Clayey,23,94,Agricultural,34,16,43
Loam,6.9,2.7,16,Loamy,23,117,Forest,20,9,32
Sandy,6.8,1.6,9,Sandy,26,79,Grassland,17,7,25
Clay,6.6,3.2,21,Clayey,24,101,Agricultural,29,13,38
Loam,6.8,2.9,14,Loamy,22,118,Forest,19,8,33
Sandy,6.4,1.2,6,Sandy,29,80,Grassland,14,5,22
Clay,7.2,3.8,27,Clayey,22,99,Agricultural,32,14,41
Loam,6.8,2.7,17,Loamy,23,116,Forest,20,9,31
Sandy,6.6,1.5,8,Sandy,27,77,Grassland,16,6,23
Clay,7.0,3.7,25,Clayey,23,100,Agricultural,31,13,40
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,34
Sandy,6.4,1.1,5,Sandy,30,82,Grassland,13,4,20
Clay,7.3,3.9,28,Clayey,23,94,Agricultural,34,16,43
Loam,6.9,2.7,16,Loamy,23,117,Forest,20,9,32
Sandy,6.8,1.6,9,Sandy,26,79,Grassland,17,7,25
Clay,6.6,3.2,21,Clayey,24,101,Agricultural,29,13,38
Loam,6.8,2.9,14,Loamy,22,118,Forest,19,8,33
Sandy,6.4,1.2,6,Sandy,29,80,Grassland,14,5,22
Clay,7.2,3.8,27,Clayey,22,99,Agricultural,32,14,41
Loam,6.8,2.7,17,Loamy,23,116,Forest,20,9,31
Sandy,6.6,1.5,8,Sandy,27,77,Grassland,16,6,23
Clay,7.0,3.7,25,Clayey,23,100,Agricultural,31,13,40
Loam,6.9,2.8,15,Loamy,21,120,Forest,19,9,34
Sandy,6.4,1.1,5,Sandy,30,82,Grassland,13,4,20
Clay,7.3,3.9,28,Clayey,23,94,Agricultural,34,16,43
Loam,6.9,2.7,16,Loamy,23,117,Forest,20,9,32
Sandy,6.8,1.6,9,Sandy,26,79,Grassland,17,7,25
Clay,6.6,3.2,21,Clayey,24,101,Agricultural,29,13,32
Sandy,6.6,1.8,9,Sandy,27,79,Grassland,16,6,23
Loam,6.6,2.6,15,Loamy,23,111,Forest,22,8,33
Clay,7.2,3.8,23,Clayey,21,94,Agricultural,29,12,40
Clay,6.5,2.5,20,Clayey,21,95,Agricultural,18,10,30
Loam,7.0,3.2,18,Loamy,22,110,Forest,25,13,38
Sandy,6.8,1.5,7,Sandy,29,70,Grassland,14,6,22
Clay,6.9,2.0,25,Clayey,26,85,Agricultural,16,8,26
Loam,6.7,2.8,22,Loamy,24,100,Forest,20,9,28
Sandy,6.4,1.8,9,Sandy,27,75,Grassland,15,7,21
Clay,6.6,3.0,21,Clayey,23,120,Agricultural,22,11,32
Loam,7.1,3.5,23,Loamy,25,105,Forest,28,14,36
Sandy,6.5,2.6,11,Sandy,21,92,Grassland,19,10,29
Clay,6.8,1.7,15,Clayey,30,80,Agricultural,14,6,20
Loam,7.2,2.2,17,Loamy,22,115,Forest,26,12,33
Sandy,6.9,1.4,8,Sandy,28,76,Grassland,13,5,19
Clay,6.7,3.1,24,Clayey,24,98,Agricultural,21,9,31
Loam,6.8,2.4,19,Loamy,23,108,Forest,23,11,29
Sandy,6.3,1.3,5,Sandy,31,78,Grassland,12,4,18
Clay,7.1,3.6,27,Clayey,25,102,Agricultural,27,13,35
Loam,6.9,2.7,16,Loamy,22,113,Forest,24,10,28
Sandy,6.5,1.6,7,Sandy,29,73,Grassland,15,5,21
Clay,7.0,3.4,22,Clayey,26,96,Agricultural,26,12,34
Loam,6.6,2.5,20,Loamy,21,118,Forest,19,8,30
Sandy,6.8,1.9,9,Sandy,30,79,Grassland,17,7,23
Clay,6.7,3.3,26,Clayey,23,103,Agricultural,28,14,36
Loam,6.9,2.6,18,Loamy,24,114,Forest,22,10,29
Sandy,6.4,1.5,6,Sandy,28,74,Grassland,14,6,20
Clay,6.6,2.9,21,Clayey,22,99,Agricultural,20,11,31
Loam,7.1,3.4,23,Loamy,25,106,Forest,27,13,35
Sandy,6.5,1.7,8,Sandy,27,77,Grassland,13,5,19
Clay,6.8,3.2,24,Clayey,24,101,Agricultural,21,9,32
Loam,6.7,2.3,17,Loamy,22,117,Forest,23,10,28
